"resource"	"collection"	"process"	"actor"	"obj"	"sub"	"date"	"value"	"unit"	"value_type"	"reference"	"source"	"description"
"303ecc72-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.53	"kgCO2e/kg"	"ECe"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"304e6fa6-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource"	"collection"	"2020-01-01"	1.54	"%"	"D/S"	301	"World"	"Strategic Energy Technology scenario"
"3034f648-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.54	"kgCO2e/kg"	"ECe"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"30398afa-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.54	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303088ce-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.55	"kgCO2/kg"	"EC"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"305146ae-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.57	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"30333aa6-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.57	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302bb632-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.6	"MJ/kg"	"EE"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"30349310-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.65	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303088ce-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.66	"kgCO2e/kg"	"ECe"	300	"European Union"	"Inventory of Carbon and Energy (ICE)"
"305146ae-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.67	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"3034bf5c-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.67	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302a5b2a-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.68	"MJ/kg"	"FE"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"304aff24-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.69	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"3034454a-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.69	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302b7c76-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.7	"kgCO2/kg"	"EC"	2	"World"	"Inventory of Carbon and Energy (ICE)"
"30374218-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.7	"kgCO2/kg"	"EC"	2	"World"	"Inventory of Carbon and Energy (ICE)"
"30346cbe-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.74	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303cc44a-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.74	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"3034bf5c-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.79	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303d8f56-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.8	"MJ/kg"	"EE"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"304aff24-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.81	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303cc44a-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.81	"kgCO2/kg"	"EC"	300	"Non-EU"	"Inventory of Carbon and Energy (ICE)"
"302c8eae-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.82	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"30346cbe-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.82	"kgCO2/kg"	"EC"	300	"Non-EU"	"Inventory of Carbon and Energy (ICE)"
"303226fc-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.83	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303cc44a-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.85	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302bef12-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.86	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"30346cbe-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.86	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303ecc72-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.89	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302c8eae-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.9	"kgCO2/kg"	"EC"	300	"Non-EU"	"Inventory of Carbon and Energy (ICE)"
"303226fc-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.9	"kgCO2/kg"	"EC"	300	"Non-EU"	"Inventory of Carbon and Energy (ICE)"
"304c0842-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.91	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"3034f648-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.92	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303cc44a-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.92	"kgCO2e/kg"	"ECe"	300	"Non-EU"	"Inventory of Carbon and Energy (ICE)"
"303252e4-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.93	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"30333aa6-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.93	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303226fc-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.94	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"304dd1f4-7f8e-11e3-bc66-f07bcb4eb64e"	23			"resource"	"collection"	"2020-01-01"	1.95	"kt"	"D"	301	"World"	"Strategic Energy Technology scenario"
"302c8eae-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.95	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"30346cbe-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.95	"kgCO2e/kg"	"ECe"	300	"Non-EU"	"Inventory of Carbon and Energy (ICE)"
"303ecc72-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	1.97	"kgCO2/kg"	"EC"	300	"Non-EU"	"Inventory of Carbon and Energy (ICE)"
"302ec2b4-7f8e-11e3-bc66-f07bcb4eb64e"						"2012-01-01"	2	"%"	"%Y"	303	"Dubbo, Australia"	
