"rid"	"name"	"description"	"short_name"
"303f1ed4-7f8e-11e3-bc66-f07bcb4eb64e"	"Poly(3,4-ethylenedioxythiophene) poly(styrene sulfonate)"		"PEDOT:PSS"
"303f32f2-7f8e-11e3-bc66-f07bcb4eb64e"	"Poly(3,4-ethylenedioxythiophene) poly(styrene sulfonate)"		"PEDOT:PSS"
"303480a0-7f8e-11e3-bc66-f07bcb4eb64e"	"Polycarbonate"		
"30389e10-7f8e-11e3-bc66-f07bcb4eb64e"	"Polycrystalline Silicon"		
"303d2d0e-7f8e-11e3-bc66-f07bcb4eb64e"	"Polycrystalline Silicon Photovoltaics"		"p-Si PV"
"303a2550-7f8e-11e3-bc66-f07bcb4eb64e"	"Polyethylene"		
"3039f738-7f8e-11e3-bc66-f07bcb4eb64e"	"Polyethylterephtalate Carpet"		
"302edd1c-7f8e-11e3-bc66-f07bcb4eb64e"	"Polymers"		
"3033249e-7f8e-11e3-bc66-f07bcb4eb64e"	"Polypropylene"		
"3039a3a0-7f8e-11e3-bc66-f07bcb4eb64e"	"Polypropylene Carpet"		
"303e3302-7f8e-11e3-bc66-f07bcb4eb64e"	"Polystyrene"		
"303bad94-7f8e-11e3-bc66-f07bcb4eb64e"	"Polystyrene sulfonate"		"PSS"
"3033cdb8-7f8e-11e3-bc66-f07bcb4eb64e"	"Polyurethane"		
"30393c3a-7f8e-11e3-bc66-f07bcb4eb64e"	"Polyurethane Carpet"		
"30375d3e-7f8e-11e3-bc66-f07bcb4eb64e"	"Primary Glass"		
"30377652-7f8e-11e3-bc66-f07bcb4eb64e"	"PVC"		
"303790f6-7f8e-11e3-bc66-f07bcb4eb64e"	"PVC"		
"30390620-7f8e-11e3-bc66-f07bcb4eb64e"	"Quartz Powder"		
"30330bc6-7f8e-11e3-bc66-f07bcb4eb64e"	"Rockwool"		
"3034bf5c-7f8e-11e3-bc66-f07bcb4eb64e"	"Rolled Aluminum"		
"302c52cc-7f8e-11e3-bc66-f07bcb4eb64e"	"Rubber"		
"303d603a-7f8e-11e3-bc66-f07bcb4eb64e"	"Rubber Carpet"		
"302c63c0-7f8e-11e3-bc66-f07bcb4eb64e"	"Sand"		
"303e4608-7f8e-11e3-bc66-f07bcb4eb64e"	"Sandstone"		
"30349310-7f8e-11e3-bc66-f07bcb4eb64e"	"Saturated Felt Carpet Underlay"		
"303c276a-7f8e-11e3-bc66-f07bcb4eb64e"	"Sawn"		
"303c3a5c-7f8e-11e3-bc66-f07bcb4eb64e"	"Sawn Softwood"		
"303eac4c-7f8e-11e3-bc66-f07bcb4eb64e"	"Secondary Glass"		
"303a611e-7f8e-11e3-bc66-f07bcb4eb64e"	"Semiconductors"		
"3039dc6c-7f8e-11e3-bc66-f07bcb4eb64e"	"Shale"		
"303b006a-7f8e-11e3-bc66-f07bcb4eb64e"	"Silicon"		
"303df3b0-7f8e-11e3-bc66-f07bcb4eb64e"	"Silicon Photovoltaics"		"Si-PV"
"3034a850-7f8e-11e3-bc66-f07bcb4eb64e"	"Slate"		
"302c73e2-7f8e-11e3-bc66-f07bcb4eb64e"	"Soil"		
"302e0068-7f8e-11e3-bc66-f07bcb4eb64e"	"Solutions"		
"3035cde8-7f8e-11e3-bc66-f07bcb4eb64e"	"Solventborne Paint"		
"30365268-7f8e-11e3-bc66-f07bcb4eb64e"	"Stabilized"		
"303dbd82-7f8e-11e3-bc66-f07bcb4eb64e"	"Stainless Steel"		
"302c8eae-7f8e-11e3-bc66-f07bcb4eb64e"	"Steel"		
"303cc44a-7f8e-11e3-bc66-f07bcb4eb64e"	"Steel Coil"		
"303226fc-7f8e-11e3-bc66-f07bcb4eb64e"	"Steel Pipe"		
"303088ce-7f8e-11e3-bc66-f07bcb4eb64e"	"Steel Plate"		
"30346cbe-7f8e-11e3-bc66-f07bcb4eb64e"	"Steel Rod"		
"303ecc72-7f8e-11e3-bc66-f07bcb4eb64e"	"Steel Section"		
"303c1176-7f8e-11e3-bc66-f07bcb4eb64e"	"Steel Wire"		
"302ca7f4-7f8e-11e3-bc66-f07bcb4eb64e"	"Stone"		
"302cc284-7f8e-11e3-bc66-f07bcb4eb64e"	"Straw"		
"303e68c2-7f8e-11e3-bc66-f07bcb4eb64e"	"Thin Film Photovoltaics"		"TF PV"
"303c5028-7f8e-11e3-bc66-f07bcb4eb64e"	"Thin Film Silicon"		
"303f5304-7f8e-11e3-bc66-f07bcb4eb64e"	"Thin Films"		"Tfs"
"302cefde-7f8e-11e3-bc66-f07bcb4eb64e"	"Timber"		
"303bfed4-7f8e-11e3-bc66-f07bcb4eb64e"	"Toughened Glass"		
"3037e222-7f8e-11e3-bc66-f07bcb4eb64e"	"Transparent Conductive Films"		"TCFs"
"3037fd66-7f8e-11e3-bc66-f07bcb4eb64e"	"Transparent Conductive Films"		"TCFs"
"30381620-7f8e-11e3-bc66-f07bcb4eb64e"	"Transparent Conductive Films"		"TCFs"
"3031aaec-7f8e-11e3-bc66-f07bcb4eb64e"	"Transparent Conductive Oxides"		"TCOs"
"30320f64-7f8e-11e3-bc66-f07bcb4eb64e"	"Transparent Conductive Oxides"		"TCOs"
"3030f444-7f8e-11e3-bc66-f07bcb4eb64e"	"Transparent Materials"		
"303e5576-7f8e-11e3-bc66-f07bcb4eb64e"	"UPVC"		
"303265fe-7f8e-11e3-bc66-f07bcb4eb64e"	"Urea Formaldehyde"		
"302d3f34-7f8e-11e3-bc66-f07bcb4eb64e"	"Vicuclad"		
"303252e4-7f8e-11e3-bc66-f07bcb4eb64e"	"Wallpaper"		
"3028fea6-7f8e-11e3-bc66-f07bcb4eb64e"	"Water"		"H2O"
"30350ee4-7f8e-11e3-bc66-f07bcb4eb64e"	"Waterborne Paint"		
"302d62fc-7f8e-11e3-bc66-f07bcb4eb64e"	"Wax"		
"302d8138-7f8e-11e3-bc66-f07bcb4eb64e"	"Wood Stain"		
"303e8c94-7f8e-11e3-bc66-f07bcb4eb64e"	"Woodwool"		
"3037c440-7f8e-11e3-bc66-f07bcb4eb64e"	"Wool"		
"303b9840-7f8e-11e3-bc66-f07bcb4eb64e"	"Wool Carpet"		
"30542cd4-7f8e-11e3-bc66-f07bcb4eb64e"	"Energy"		"e"
"304a49c6-7f8e-11e3-bc66-f07bcb4eb64e"	"Hydrogen"		"H"
"304a58e4-7f8e-11e3-bc66-f07bcb4eb64e"	"Helium"		"He"
"304a6794-7f8e-11e3-bc66-f07bcb4eb64e"	"Lithium"		"Li"
"304a79fa-7f8e-11e3-bc66-f07bcb4eb64e"	"Beryllium"		"Be"
"304a8954-7f8e-11e3-bc66-f07bcb4eb64e"	"Boron"		"B"
"304a9c14-7f8e-11e3-bc66-f07bcb4eb64e"	"Carbon"		"C"
"304aacb8-7f8e-11e3-bc66-f07bcb4eb64e"	"Nitrogen"		"N"
"304abf46-7f8e-11e3-bc66-f07bcb4eb64e"	"Oxygen"		"O"
"304ad03a-7f8e-11e3-bc66-f07bcb4eb64e"	"Fluorine"		"F"
"304adf30-7f8e-11e3-bc66-f07bcb4eb64e"	"Neon"		"Ne"
"304af038-7f8e-11e3-bc66-f07bcb4eb64e"	"Sodium"		"Na"
"304aff24-7f8e-11e3-bc66-f07bcb4eb64e"	"Magnesium"		"Mg"
"304b0fbe-7f8e-11e3-bc66-f07bcb4eb64e"	"Aluminum"		"Al"
"304b1e8c-7f8e-11e3-bc66-f07bcb4eb64e"	"Silicon"		"Si"
"304b2d28-7f8e-11e3-bc66-f07bcb4eb64e"	"Phosphorus"		"P"
"304b411e-7f8e-11e3-bc66-f07bcb4eb64e"	"Sulfur"		"S"
"304b5456-7f8e-11e3-bc66-f07bcb4eb64e"	"Chlorine"		"Cl"
"304b71a2-7f8e-11e3-bc66-f07bcb4eb64e"	"Argon"		"Ar"
"304b8d68-7f8e-11e3-bc66-f07bcb4eb64e"	"Potassium"		"K"
"304ba794-7f8e-11e3-bc66-f07bcb4eb64e"	"Calcium"		"Ca"
"304bb9f0-7f8e-11e3-bc66-f07bcb4eb64e"	"Scandium"		"Sc"
"304bcbc0-7f8e-11e3-bc66-f07bcb4eb64e"	"Titanium"		"Ti"
"304be826-7f8e-11e3-bc66-f07bcb4eb64e"	"Vanadium"		"V"
"304c0842-7f8e-11e3-bc66-f07bcb4eb64e"	"Chromium"		"Cr"
"304c2520-7f8e-11e3-bc66-f07bcb4eb64e"	"Manganese"		"Mn"
"304c4096-7f8e-11e3-bc66-f07bcb4eb64e"	"Iron"		"Fe"
"304c5e64-7f8e-11e3-bc66-f07bcb4eb64e"	"Cobalt"		"Co"
"304c7980-7f8e-11e3-bc66-f07bcb4eb64e"	"Nickel"		"Ni"
"304c9384-7f8e-11e3-bc66-f07bcb4eb64e"	"Copper"		"Cu"
"304cac20-7f8e-11e3-bc66-f07bcb4eb64e"	"Zinc"		"Zn"
"304cc804-7f8e-11e3-bc66-f07bcb4eb64e"	"Gallium"		"Ga"
"304ce37a-7f8e-11e3-bc66-f07bcb4eb64e"	"Germanium"		"Ge"
"304cfc02-7f8e-11e3-bc66-f07bcb4eb64e"	"Arsenic"		"As"
"304d1570-7f8e-11e3-bc66-f07bcb4eb64e"	"Selenium"		"Se"
"304d2b5a-7f8e-11e3-bc66-f07bcb4eb64e"	"Bromine"		"Br"
"304d4310-7f8e-11e3-bc66-f07bcb4eb64e"	"Krypton"		"Kr"
"304d57d8-7f8e-11e3-bc66-f07bcb4eb64e"	"Rubidium"		"Rb"
"304d6ab6-7f8e-11e3-bc66-f07bcb4eb64e"	"Strontium"		"Sr"
"304d80b4-7f8e-11e3-bc66-f07bcb4eb64e"	"Yttrium"		"Y"
"304d94e6-7f8e-11e3-bc66-f07bcb4eb64e"	"Zirconium"		"Zr"
"304daaee-7f8e-11e3-bc66-f07bcb4eb64e"	"Niobium"		"Nb"
"304dbdf4-7f8e-11e3-bc66-f07bcb4eb64e"	"Molybdenum"		"Mo"
"304dd1f4-7f8e-11e3-bc66-f07bcb4eb64e"	"Technetium"		"Tc"
"304de4d2-7f8e-11e3-bc66-f07bcb4eb64e"	"Ruthenium"		"Ru"
"304df8f0-7f8e-11e3-bc66-f07bcb4eb64e"	"Rhodium"		"Rh"
"304e0be2-7f8e-11e3-bc66-f07bcb4eb64e"	"Palladium"		"Pd"
"304e20e6-7f8e-11e3-bc66-f07bcb4eb64e"	"Silver"		"Ag"
"304e33ec-7f8e-11e3-bc66-f07bcb4eb64e"	"Cadmium"		"Cd"
"304e488c-7f8e-11e3-bc66-f07bcb4eb64e"	"Indium"		"In"
"304e5b74-7f8e-11e3-bc66-f07bcb4eb64e"	"Tin"		"Sn"
"304e6fa6-7f8e-11e3-bc66-f07bcb4eb64e"	"Antimony"		"Sb"
"304e8284-7f8e-11e3-bc66-f07bcb4eb64e"	"Tellurium"		"Te"
"304e99b8-7f8e-11e3-bc66-f07bcb4eb64e"	"Iodine"		"I"
"304eb754-7f8e-11e3-bc66-f07bcb4eb64e"	"Xenon"		"Xe"
"304ed13a-7f8e-11e3-bc66-f07bcb4eb64e"	"Cesium"		"Cs"
"304eed32-7f8e-11e3-bc66-f07bcb4eb64e"	"Barium"		"Ba"
"304f09fc-7f8e-11e3-bc66-f07bcb4eb64e"	"Lanthanum"		"La"
"304f234c-7f8e-11e3-bc66-f07bcb4eb64e"	"Cerium"		"Ce"
"304f3e22-7f8e-11e3-bc66-f07bcb4eb64e"	"Praseodymium"		"Pr"
"304f5862-7f8e-11e3-bc66-f07bcb4eb64e"	"Neodymium"		"Nd"
"304f71ee-7f8e-11e3-bc66-f07bcb4eb64e"	"Promethium"		"Pm"
"304fb6fe-7f8e-11e3-bc66-f07bcb4eb64e"	"Samarium"		"Sm"
"304fcd9c-7f8e-11e3-bc66-f07bcb4eb64e"	"Europium"		"Eu"
"304fe106-7f8e-11e3-bc66-f07bcb4eb64e"	"Gadolinium"		"Gd"
"304ff5b0-7f8e-11e3-bc66-f07bcb4eb64e"	"Terbium"		"Tb"
"305008d4-7f8e-11e3-bc66-f07bcb4eb64e"	"Dysprosium"		"Dy"
"30501e3c-7f8e-11e3-bc66-f07bcb4eb64e"	"Holmium"		"Ho"
"305031f6-7f8e-11e3-bc66-f07bcb4eb64e"	"Erbium"		"Er"
"30504812-7f8e-11e3-bc66-f07bcb4eb64e"	"Thulium"		"Tm"
"30506ca2-7f8e-11e3-bc66-f07bcb4eb64e"	"Ytterbium"		"Yb"
"305086ce-7f8e-11e3-bc66-f07bcb4eb64e"	"Lutetium"		"Lu"
"3050a118-7f8e-11e3-bc66-f07bcb4eb64e"	"Hafnium"		"Hf"
"3050b68a-7f8e-11e3-bc66-f07bcb4eb64e"	"Tantalum"		"Ta"
"3050c9f4-7f8e-11e3-bc66-f07bcb4eb64e"	"Tungsten"		"W"
"3050df70-7f8e-11e3-bc66-f07bcb4eb64e"	"Rhenium"		"Re"
"3050f5b4-7f8e-11e3-bc66-f07bcb4eb64e"	"Osmium"		"Os"
"30510c48-7f8e-11e3-bc66-f07bcb4eb64e"	"Iridium"		"Ir"
"30511eea-7f8e-11e3-bc66-f07bcb4eb64e"	"Platinum"		"Pt"
"30513452-7f8e-11e3-bc66-f07bcb4eb64e"	"Gold"		"Au"
"305146ae-7f8e-11e3-bc66-f07bcb4eb64e"	"Mercury"		"Hg"
"30515c66-7f8e-11e3-bc66-f07bcb4eb64e"	"Thallium"		"Tl"
"30516e9a-7f8e-11e3-bc66-f07bcb4eb64e"	"Lead"		"Pb"
"30518308-7f8e-11e3-bc66-f07bcb4eb64e"	"Bismuth"		"Bi"
"305194f6-7f8e-11e3-bc66-f07bcb4eb64e"	"Polonium"		"Po"
"3051aa68-7f8e-11e3-bc66-f07bcb4eb64e"	"Astatine"		"At"
"3051bcba-7f8e-11e3-bc66-f07bcb4eb64e"	"Radon"		"Rn"
"3051d27c-7f8e-11e3-bc66-f07bcb4eb64e"	"Francium"		"Fr"
"3051e4c4-7f8e-11e3-bc66-f07bcb4eb64e"	"Radium"		"Ra"
"3051f946-7f8e-11e3-bc66-f07bcb4eb64e"	"Actinium"		"Ac"
"30520b34-7f8e-11e3-bc66-f07bcb4eb64e"	"Thorium"		"Th"
"305222a4-7f8e-11e3-bc66-f07bcb4eb64e"	"Protactinium"		"Pa"
"30523ae6-7f8e-11e3-bc66-f07bcb4eb64e"	"Uranium"		"U"
"30525508-7f8e-11e3-bc66-f07bcb4eb64e"	"Neptunium"		"Np"
"30527056-7f8e-11e3-bc66-f07bcb4eb64e"	"Plutonium"		"Pu"
"30528ac8-7f8e-11e3-bc66-f07bcb4eb64e"	"Americium"		"Am"
"3052a35a-7f8e-11e3-bc66-f07bcb4eb64e"	"Curium"		"Cm"
"3052be94-7f8e-11e3-bc66-f07bcb4eb64e"	"Berkelium"		"Bk"
"3052d9ba-7f8e-11e3-bc66-f07bcb4eb64e"	"Californium"		"Cf"
"30530264-7f8e-11e3-bc66-f07bcb4eb64e"	"Einsteinium"		"Es"
"30531d4e-7f8e-11e3-bc66-f07bcb4eb64e"	"Fermium"		"Fm"
"305339a0-7f8e-11e3-bc66-f07bcb4eb64e"	"Mendelevium"		"Md"
"30535552-7f8e-11e3-bc66-f07bcb4eb64e"	"Nobelium"		"No"
"3053714a-7f8e-11e3-bc66-f07bcb4eb64e"	"Lawrencium"		"Lr"
"30538a72-7f8e-11e3-bc66-f07bcb4eb64e"	"Rutherfordium"		"Rf"
"3053a78c-7f8e-11e3-bc66-f07bcb4eb64e"	"Dubnium"		"Db"
