"cid"	"resource"
23	"30477bba-7f8e-11e3-bc66-f07bcb4eb64e"
23	"30478f06-7f8e-11e3-bc66-f07bcb4eb64e"
23	"30479f50-7f8e-11e3-bc66-f07bcb4eb64e"
23	"3047b04e-7f8e-11e3-bc66-f07bcb4eb64e"
24	"3049a480-7f8e-11e3-bc66-f07bcb4eb64e"
24	"3049b560-7f8e-11e3-bc66-f07bcb4eb64e"
24	"3049c460-7f8e-11e3-bc66-f07bcb4eb64e"
25	"3049f2aa-7f8e-11e3-bc66-f07bcb4eb64e"
25	"3049953a-7f8e-11e3-bc66-f07bcb4eb64e"
26	"304a289c-7f8e-11e3-bc66-f07bcb4eb64e"
26	"3049953a-7f8e-11e3-bc66-f07bcb4eb64e"
27	"304a059c-7f8e-11e3-bc66-f07bcb4eb64e"
27	"3049953a-7f8e-11e3-bc66-f07bcb4eb64e"
