nep.pk	nep.name	nep.description	nep.shortname	neps.pk	nep.pparent	nep.pchild	nem.pk	nem.name	nem.description	nem.shortname	nem.mparent	nem.mchild	ner.pk	ner.name	ner.shortname	ner.rtype	necol.pk	necol.collection_id	necol.resource	necol.name	neproc.pk	neproc.name	neproc.desc	nepio.pk	nepio.process	nepio.arg_pk	nepio.arg_type
4577075	Wind Generator				1106725	4577075	336662	Glue Laminated			279	336662						22	5675499	Photovoltaic and CSP Tech							
1087939	Onshore Wind Generator				4577075	1087939	337396	Polyethylene			289	337396						22	8316745	Photovoltaic and CSP Tech							
16765404	Offshore Wind Generator				4577075	16765404	341659	Cellulose			275	341659						22	15160812	Photovoltaic and CSP Tech							
3012577	Direct-Drive Wind Generator		DDW		4577075	3012577	343712	Semiconductors			500	343712						22	1193928	Photovoltaic and CSP Tech							
1789607	High-Temperature Superconductor		HTS		1789607		345787	Cork			275	345787						22	8316745	Photovoltaic and CSP Tech							
5054455	High-Temperature Superconductor Wind Generator		HTS		4577075	5054455	346022	Cellular Glass			275	346022						23	1087939	On- and Off-shore Wind Tech							
6878869	Permanent Magnet		PM		6878869		351879	Amorphous Silicon Photovoltaics		a-Si PV	413560	351879						23	16765404	On- and Off-shore Wind Tech							
17189165	Permanent Magnet Wind Generator		PM		4577075	17189165	351879	Amorphous Silicon Photovoltaics		a-Si PV	425508	351879						23	3012577	On- and Off-shore Wind Tech							
5392765	Nuclear Reactors				1106725	4577075	353009	CEM II			251	353009						23	1789607	On- and Off-shore Wind Tech							
15003521	Gen II Nuclear Reactors				5392765	15003521	353203	DN 500			253	353203						24	2276546	Carbon Capture and Storage							
6746505	Gen III Nuclear Reactors				5392765	6746505	357020	Silicon			154	357020						24	6706002	Carbon Capture and Storage							
13263311	Gen III+ Nuclear Reactors				5392765	13263311	358254	Copper Indium Gallium Selenide		CIGS	472231	358254						24	9454232	Carbon Capture and Storage							
5559174	Gen IV Nuclear Reactors				5392765	5559174	358254	Copper Indium Gallium Selenide		CIGS	425508	358254						25	8267996	Coal + CCS							
10483613	Light Water Reactors		LWR		5392765	10483613	359059	Dopant			500	359059						25	11348051	Coal + CCS							
9706235	Heavy Water Reactors		HWR		5392765	9706235	360076	Insulator			500	360076						26	2974066	Natural Gas + CCS							
17286303	Boiling Water Reactors		BWR		17286303	17286303	360511	Fine Paper			286	360511						26	11348051	Natural Gas + CCS							
12874547	Pressurized Water Reactors		PWR		6746505	12874547	361309	Plywood			258	361309						27	16033304	Oil + CCS							
12874547	Pressurized Water Reactors		PWR		10483613	12874547	361665	Wool Carpet			249	361665						27	11348051	Oil + CCS							
13733874	Gas-Cooled Reactors		GCR			13733874	361893	6 Polymer			284	361893															
9203932	High-Temperature Gas-Cooled Reactors		HT-GC			9203932	365340	Mastic			294	365340															
11469808	European Pressurized Reactors		EPR		6746505	11469808	365479	Marble			298	365479															
11469808	European Pressurized Reactors		EPR		12874547	11469808	365711	Toughened Glass			271	365711															
5234044	Supercritical Water Reactors		SCWR		6746505	5234044	366277	Steel Wire			297	366277															
5234044	Supercritical Water Reactors		SCWR		5559174	5234044	371120	Sawn			274	371120															
1457865	Heavy Water Gas-Cooled Reactor				13733874	1457865	371120	Sawn Softwood			295	371120															
16347292	Advanced gas-cooled reactor		AGCR		13733874	16347292	371828	Thin Film Silicon			301	371828															
8730810	Gas-cooled fast reactor		GCFR		13733874	8730810	371927	Melamine			294	371927															
10063083	Gas turbine modular helium reactor		GTMHR		13733874	10063083	373107	Coated Tin			170	373107															
14942655	High temperature gas cooled reactor		HT-GCR		13733874	14942655	374066	Photovoltaics		PV	343712	374066															
5284958	Pebble bed reactor 		PBR		13733874	5284958	377047	Steel Coil			297	377047															
1820006	Pebble bed modular reactor		PBMR		13733874	1820006	377996	MDF			258	377996															
3460102	Very high temperature reactor		VHTR		13733874	3460102	380935	Limestone Bricks			246	380935															
11475319	Pressurized Heavy Water Reactors		PHWR		5392765	11475319	381684	Epoxide			294	381684															
11348051	Carbon Capture and Storage		CCS		6778110	11348051	382390	Polycrystalline Silicon Photovoltaics		p-Si PV	117857	382390															
