"pk"	"name"	"description"	"short_name"
"304586ca-7f8e-11e3-bc66-f07bcb4eb64e"	"Polycrystalline Silicon Photovoltaics"	"""Polycrystalline silicon is composed of many smaller silicon grains of varied crystallographic orientation. This material can be synthesized easily by allowing liquid silicon to cool using a seed crystal of the desired crystal structure. Additionally, other methods for crystallizing amorphous silicon to form polysilicon exist such as high temperature chemical vapor deposition (CVD)."""	"p-Si PV"
"30459a52-7f8e-11e3-bc66-f07bcb4eb64e"	"Monocrystalline Silicon Photovoltaics"	"""Monocrystalline silicon is a form in which the crystal structure is homogenous throughout the material, the orientation, lattice parameter, and electronic properties are constant throughout the material."""	"m-Si PV"
"3045aa2e-7f8e-11e3-bc66-f07bcb4eb64e"	"Polycrystalline Silicon Photovoltaics"	"""Polycrystalline silicon is composed of many smaller silicon grains of varied crystallographic orientation. This material can be synthesized easily by allowing liquid silicon to cool using a seed crystal of the desired crystal structure. Additionally, other methods for crystallizing amorphous silicon to form polysilicon exist such as high temperature chemical vapor deposition (CVD)."""	"p-Si PV"
"3045bd2a-7f8e-11e3-bc66-f07bcb4eb64e"	"Thin Film Products"		"TF"
"3045cd6a-7f8e-11e3-bc66-f07bcb4eb64e"	"Thin Film Photovoltaics"		"TF PV"
"3045dfa8-7f8e-11e3-bc66-f07bcb4eb64e"	"Thin Film Photovoltaics"		"TF PV"
"3045ef84-7f8e-11e3-bc66-f07bcb4eb64e"	"Amorphous Silicon Photovoltaics"	"Amorphous silicon has no long-range periodic order. The application of amorphous silicon to photovoltaics as a standalone material is somewhat limited by its inferior electronic properties."	"a-Si PV"
"3045fe48-7f8e-11e3-bc66-f07bcb4eb64e"	"Amorphous Silicon Photovoltaics"	"Amorphous silicon has no long-range periodic order. The application of amorphous silicon to photovoltaics as a standalone material is somewhat limited by its inferior electronic properties."	"a-Si PV"
"30460f1e-7f8e-11e3-bc66-f07bcb4eb64e"	"Cadmium Telluride Photovoltaics"	"CdTe"	"CdTe PV"
"30461de2-7f8e-11e3-bc66-f07bcb4eb64e"	"Copper Indium Gallium Selenide Photovoltaics"	"CuInxGa(1-x)Se2"	"CIGS PV"
"304630ca-7f8e-11e3-bc66-f07bcb4eb64e"	"Parabolic Mirror"		
"30464178-7f8e-11e3-bc66-f07bcb4eb64e"	"Parabolic Trough Photovoltaics"		"PT PV"
"304654b0-7f8e-11e3-bc66-f07bcb4eb64e"	"Parabolic Trough Solar Thermal"		"PT SP"
"304664f0-7f8e-11e3-bc66-f07bcb4eb64e"	"Power Tower Solar Thermal"		
"304673e6-7f8e-11e3-bc66-f07bcb4eb64e"	"Power Tower Photovoltaics"		
