"nesi.pk"	"nesi.resource"	"nesi.valuetype"	"nesi.value"	"nesi.unit"	"nesi.location"	"nesi.with_property"	"nesi.reference"	"nesi.infotype"
182	292	"EC"	2.66	"kgCO_2/kg"				
183	292	"ECe"	2.85	"kgCO_2e/kg"				
184	292	"FE"	40	"MJ/kg"				
185	293	"EE"	0.081	"MJ/kg"				
186	293	"EC"	0.0048	"kgCO_2/kg"				
187	293	"ECe"	0.0051	"kgCO_2e/kg"				
188	296	"EE"	0.45	"MJ/kg"				
189	296	"EC"	0.023	"kgCO_2/kg"				
190	296	"ECe"	0.024	"kgCO_2e/kg"				
191	297	"EE"	20.1	"MJ/kg"	"European Union"			
192	297	"EE"	35.4	"MJ/kg"	"European Union"			
193	297	"EE"	9.4	"MJ/kg"	"European Union"			
194	297	"EE"	26.2	"MJ/kg"	"Non-EU"			
195	297	"EE"	25.3	"MJ/kg"	"World"			
196	297	"EC"	1.37	"kgCO_2/kg"	"European Union"			
197	297	"EC"	2.71	"kgCO_2/kg"	"European Union"			
198	297	"EC"	0.44	"kgCO_2/kg"	"European Union"			
199	297	"EC"	1.9	"kgCO_2/kg"	"Non-EU"			
200	297	"EC"	1.82	"kgCO_2/kg"	"World"			
201	297	"ECe"	1.46	"kgCO2e/kg"	"European Union"			
202	297	"ECe"	2.89	"kgCO2e/kg"	"European Union"			
203	297	"ECe"	0.47	"kgCO2e/kg"	"European Union"			
204	297	"ECe"	2.03	"kgCO2e/kg"	"Non-EU"			
205	297	"ECe"	1.95	"kgCO2e/kg"	"World"			
206	298	"EE"	1.26	"MJ/kg"				
207	298	"EC"	0.073	"kgCO_2/kg"				
208	298	"ECe"	0.079	"kgCO_2e/kg"				
209	299	"EE"	0.24	"MJ/kg"			63	
210	299	"EC"	0.01	"kgCO_2/kg"			63	
211	299	"ECe"		"kgCO_2e/kg"			63	
212	302	"EE"	10	"MJ_{fossil}/kg"				
213	302	"EE"	4.9	"MJ_{bio}"				
214	302	"EC"	0.3	"“kgCO_{2,fossil}/kg”"				
215	302	"EC"	0.41	"“kgCO_{2,bio}/kg”"				
216	302	"ECe"	0.31	"“kgCO_{2e,fossil}/kg”"				
217	302	"ECe"	0.41	"“kgCO_{2e,bio}/kg”"				
218	304	"EE"	70	"MJ/kg"			1	
219	304	"EC"		"kgCO_2/kg"			1	
220	304	"ECe"		"kgCO_2e/kg"			1	
221	305	"EE"	52	"MJ/kg"			169	
222	305	"EC"		"kgCO_2/kg"			169	
223	305	"ECe"		"kgCO_2e/kg"			169	
224	306	"EE"	50	"MJ/kg"			1	
225	306	"EC"	5.35	"kgCO_2/kg"			1	
226	306	"ECe"		"kgCO_2e/kg"			1	
227	40	"EE"	1610	"MJ/kg"			22	
228	40	"EC"	97.2	"kgCO_2/kg"			22	
229	54358	"EE"	25.1	"MJ/kg"	"European Union"			
230	54358	"EE"	45.4	"MJ/kg"	"European Union"			
231	54358	"EE"	33.2	"MJ/kg"	"Non-EU"			
232	54358	"EE"	32	"MJ/kg"	"World"			
233	54358	"EC"	1.55	"kgCO_2/kg"	"European Union"			
234	54358	"EC"	3.05	"kgCO_2/kg"	"European Union"			
235	54358	"EC"	2.15	"kgCO_2/kg"	"Non-EU"			
